# Selection   : all 
# Volume      : 7.500000e-05
# Time        	max(cloud:alpha)
0.993725      	8.998009e-01
0.993976      	8.998009e-01
0.994249      	8.998009e-01
0.994455      	8.998009e-01
0.994628      	8.998009e-01
0.994813      	8.998009e-01
0.994966      	8.998009e-01
0.995146      	8.998009e-01
0.995357      	8.998009e-01
0.995511      	8.998009e-01
0.995565      	8.998009e-01
0.995618      	8.998009e-01
0.995682      	8.998009e-01
0.995758      	8.998009e-01
0.995819      	8.998009e-01
0.995874      	8.998009e-01
0.99594       	8.998009e-01
0.996018      	8.998009e-01
0.996104      	8.998009e-01
0.996207      	8.998009e-01
0.996329      	8.998009e-01
0.996476      	8.998009e-01
0.996593      	8.998009e-01
0.996681      	8.998009e-01
0.996784      	8.998009e-01
0.996908      	8.998009e-01
0.997049      	8.998009e-01
0.997213      	8.998009e-01
0.997398      	8.998009e-01
0.997615      	8.998009e-01
0.997854      	8.998009e-01
0.998122      	8.998009e-01
0.998331      	8.998009e-01
0.998569      	8.998009e-01
0.998855      	8.998009e-01
0.999142      	8.998009e-01
0.999428      	8.998009e-01
0.999571      	8.998009e-01
0.999714      	8.998009e-01
0.999857      	8.998009e-01
1             	8.998009e-01
